LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID149925,149925,85,31886.125,585.7280842066087,463.2606759446186,0.0,2.0,2,6.0,1,,38918.306859205775,40686.0,17436.0,51805.0,1.0780371E7,8090.447944218227,-0.15761861621164203,-1.8001558891509355
ID150039,150039,85,34869.5,584.0156177299242,461.2186353750115,0.0,3.0,3,6.0,1,,38709.956678700364,40517.0,15162.0,54248.0,1.0722658E7,8873.701655077994,-0.16242588995526863,-1.6919201718085446
ID150160,150160,85,33648.234375,581.8777393898578,458.17362984401854,0.0,4.0,4,6.0,1,,39051.79422382671,40517.0,17268.0,53658.0,1.0817347E7,8860.42519125474,-0.15755165474682603,-1.6485271802181207
ID150284,150284,85,38404.47265625,580.063163149208,455.29938047677734,0.0,5.0,5,6.0,1,,38473.36462093863,40770.0,14235.0,53574.0,1.0657122E7,9771.611563675297,-0.1674606818221511,-1.5839157284908227
ID150406,150406,85,41270.01953125,576.7319321426793,450.42406624245484,0.0,6.0,6,6.0,1,,38352.03249097473,40686.0,13562.0,55006.0,1.0623513E7,10416.774026468362,-0.1708364578474897,-1.5171394353614631
ID150529,150529,85,36342.8671875,574.4888387012413,447.5580642987686,0.0,7.0,7,6.0,1,,38880.252707581225,40938.0,15415.0,54164.0,1.076983E7,9794.409192795018,-0.16168118148218133,-1.5311970700882287
ID150657,150657,85,42865.921875,572.25428034637,443.9252831145291,0.0,8.0,8,6.0,1,,38553.39711191336,41107.0,12972.0,56775.0,1.0679291E7,11061.5319306742,-0.17064036024863738,-1.4342215127497229
ID150778,150778,85,38242.5234375,569.0888802528794,438.67573148282486,0.0,9.0,9,6.0,1,,38803.93501805054,40349.0,13309.0,57365.0,1.074869E7,11301.818429553829,-0.15909180193266156,-1.2991420883767
ID150892,150892,85,31590.041015625,567.2085519470334,436.1201269858176,0.0,10.0,10,6.0,1,,39651.48736462094,41528.0,16763.0,57870.0,1.0983462E7,10845.16477033305,-0.13967025527131086,-1.1871136873014339
ID151008,151008,85,36963.59765625,565.3205901930722,433.5302779760293,0.0,11.0,11,6.0,1,,39611.657039711194,41023.0,11624.0,59386.0,1.0972429E7,13298.486410335023,-0.14434256317467026,-1.0049519004702958
ID151124,151124,85,43593.79296875,561.573888387112,430.1389290754084,0.0,12.0,12,6.0,1,,40051.361010830326,44224.0,5896.0,60566.0,1.1094227E7,16197.720576787699,-0.14967849216679216,-0.8705016666493337
ID151235,151235,85,37026.21875,559.6161550343306,427.87866303081216,0.0,13.0,13,6.0,1,,40688.184115523465,42707.0,11119.0,62840.0,1.1270627E7,14405.633904882005,-0.14131493739952253,-0.9296513243826652
ID151346,151346,85,41134.69921875,556.9648891393203,425.01736303810236,0.0,14.0,14,6.0,1,,40955.7761732852,46751.0,6907.0,62250.0,1.134475E7,17551.466182832457,-0.13787676394045575,-0.7463688165042599
ID151454,151454,85,44227.578125,552.8556563164425,421.8396655684782,0.0,15.0,15,6.0,1,,40685.14079422383,46330.0,5054.0,61745.0,1.1269784E7,17857.880948861995,-0.1412536518189756,-0.749498342436493
ID151564,151564,85,41417.59375,549.9727266637409,419.88603126222034,0.0,16.0,16,6.0,1,,40416.26714801444,42118.0,11793.0,63598.0,1.1195306E7,15270.81338202596,-0.14459796780760018,-0.8947793176293083
ID151674,151674,85,46144.55859375,547.3805081931257,418.0881925442491,0.0,17.0,17,6.0,1,,40365.49097472924,46077.0,5391.0,62335.0,1.1181241E7,17417.628234938715,-0.1453427578425648,-0.7882294150232393
ID151788,151788,85,45103.75390625,543.1860254723393,415.5120906901404,0.0,18.0,18,6.0,1,,40183.93501805054,43634.0,6317.0,61155.0,1.113095E7,16753.176883763288,-0.14758949745427918,-0.8306000378528187
ID151900,151900,85,42212.71484375,539.5714838292546,413.06760980104536,0.0,19.0,19,6.0,1,,39880.779783393504,42034.0,12130.0,60313.0,1.1046976E7,14561.83152817502,-0.15150802280390868,-0.9780600618260373
ID152012,152012,85,45391.60546875,537.153014608155,411.18634093014106,0.0,20.0,20,6.0,1,,39523.46931407942,41023.0,9434.0,61661.0,1.0948001E7,15122.40000805375,-0.15754769286149156,-0.9775321666429768
ID152118,152118,85,43065.14453125,534.7067019757925,409.5014987741628,0.0,21.0,21,6.0,1,,39636.85920577617,40265.0,14404.0,59892.0,1.097941E7,13849.07978729067,-0.155578829231348,-1.0546289730836453
ID152222,152222,85,45907.41796875,531.536077554431,407.1793334114761,0.0,22.0,22,6.0,1,,38881.797833935016,40686.0,9013.0,59386.0,1.0770258E7,13998.23671357988,-0.16516119322608067,-1.0990270542151686
ID152332,152332,85,41771.59375,527.2052071500548,404.08541087203525,0.0,23.0,23,6.0,1,,37859.1119133574,39422.0,10866.0,57702.0,1.0486974E7,12754.389874216524,-0.16440313812455898,-1.1680300938844876
ID152437,152437,85,37366.84375,524.5722146796787,401.76924003280334,0.0,24.0,24,6.0,1,,36864.08303249098,37653.0,14657.0,57702.0,1.0211351E7,11251.924610104994,-0.16348084320947617,-1.2805531113380868
ID152540,152540,85,43259.3984375,521.8153362740338,399.43052699151036,0.0,25.0,25,6.0,1,,35330.80866425993,37485.0,11456.0,57280.0,9786634.0,11580.183124578174,-0.1811317128224906,-1.3497352431599103
ID152645,152645,85,41747.796875,517.8934879826883,395.6715031273515,0.0,26.0,26,6.0,1,,37210.447653429605,39506.0,11456.0,55343.0,1.0307294E7,11650.172224031927,-0.16915826407464551,-1.3005811644887275
ID152755,152755,85,36394.85546875,515.5390761955373,393.28778356892286,0.0,27.0,27,6.0,1,,38594.093862815884,40096.0,13309.0,56269.0,1.0690564E7,10685.525088920083,-0.16046064508597657,-1.3806463547691918
ID152861,152861,85,40916.9140625,513.3719733480457,390.92368767088095,0.0,28.0,28,6.0,1,,38384.29963898917,40686.0,11877.0,55933.0,1.0632451E7,10757.246819616628,-0.17418979713919625,-1.5053065530044374
